	s_MAIN_ID	s_RA	s_DEC	s_RA_PREC	s_DEC_PREC	s_COO_ERR_MAJA	s_COO_ERR_MINA	s_COO_ERR_ANGLE	s_COO_QUAL	s_COO_WAVELENGTH	s_COO_BIBCODE	s_FLUX_U	s_FLUX_B	s_FLUX_V	s_FLUX_R	s_FLUX_I	s_FLUX_G	s_FLUX_J	s_FLUX_H	s_FLUX_K	s_FLUX_u	s_FLUX_g	s_FLUX_r	s_FLUX_i	s_FLUX_z	s_class	s_glat	s_glon	s_nan_spectra	s_zero_spectra
0	b'HD 201433A'	21 08 38.894	+30 12 20.27	7.0	7.0	26.0	26.0	90.0	B	O	b'2000A&A...355L..27H'		2.3659202e-06	1.9408862e-06												plsr	-11.77431071869675	76.10774252539082	False	False
1	b'* nu. For'	02 04 29.4462	-29 17 48.491	14.0	14.0	0.1834	0.1942	90.0	A	O	b'2018yCat.1345....0G'	9.772367e-05	3.0199519e-05	2.0417378000000002e-05	1.862087e-05	1.3489632999999999e-05	2.2998529e-05	1e-05	8.953651e-06	9.660512e-06						plsr	-73.77799282801924	224.88760108975063	False	False
2	b'* phi Her'	16 08 46.1668	+44 56 05.732	14.0	14.0	0.371	0.3754	90.0	A	O	b'2018yCat.1345....0G'	0.00012022642499999999	6.309576600000001e-05	5.370318e-05	5.370318e-05	4.365157e-05	6.854882e-05	4.8977887e-05	4.6773523e-05	4.786299e-05						plsr	47.10739961314703	70.8478254771243	False	False
3	b'V* CG And'	00 00 43.6345	+45 15 12.002	14.0	14.0	0.055	0.0422	90.0	A	O	b'2018yCat.1345....0G'		5.0234286e-07	4.4977971999999993e-07			4.6784308000000004e-07	3.9174182e-07	3.1188893e-07	3.0831868000000003e-07						plsr	-16.702455047004626	113.64935782367607	False	False
4	b'HD 133029'	15 00 38.7184	+47 16 38.793	14.0	14.0	0.0472	0.0421	90.0	A	O	b'2018yCat.1345....0G'		5.623413000000001e-07	4.456564e-07			4.800651e-07	3.2210679999999995e-07	2.6001592000000004e-07	2.6915336e-07						plsr	57.71007399480583	80.1919424561738	False	False
5	b'HD  23964'	03 49 58.0538	+23 50 55.299	9.0	9.0	7.2	5.96	90.0	A	O	b'2007A&A...474..653V'		1.5848923999999998e-07	1.8197018e-07	5.011869999999999e-07	1.8197018e-07		2.8510178000000003e-07	2.5703949999999996e-07	3.0619640000000005e-07						plsr	-23.25970502692761	167.31196169690858	False	False
6	b'HD  83059'	09 34 06.0267	-53 03 40.777	14.0	14.0	0.0316	0.0378	90.0	A	O	b'2018yCat.1345....0G'		1.3489633e-10	1.7782795e-10			2.3670087999999996e-10	5.1999555e-10	5.382697e-10	5.807643e-10						plsr	-0.9126870412369802	275.8089967187973	False	False
7	b'*  33 Lib'	15 29 34.7422	-17 26 27.375	14.0	14.0	0.0507	0.0509	90.0	A	O	b'2018yCat.1345....0G'	6.0255985e-08	8.511376999999999e-08	2.0417376999999997e-07			2.2787667000000002e-07	4.8528835e-07	5.2360025e-07	5.66239e-07						plsr	31.209151560222736	348.17052657472533	False	False
8	b'V* EP Vir'	12 47 02.3097	+05 57 01.395	14.0	14.0	0.0442	0.0339	90.0	A	O	b'2018yCat.1345....0G'	5.8884365e-07	5.1286145e-07	4.5708802e-07			5.2917574e-07	5.260175e-07	4.591982e-07	4.7206282e-07						plsr	68.79628486647236	299.90617214163	False	False
9	b'HD 103498'	11 55 11.3277	+46 28 11.299	14.0	14.0	0.1598	0.24100000000000002	90.0	A	O	b'2018yCat.1345....0G'		9.840112e-08	1.08392655e-07			1.0700396000000001e-07	1.552387e-07	1.3365952999999998e-07	1.3835657e-07						plsr	67.69728093495604	149.09748717852747	False	False
10	b'HD  52264'	07 00 24.0575	-03 00 40.274	14.0	14.0	0.0503	0.0513	90.0	A	O	b'2018yCat.1345....0G'		2.290866e-09	2.0892947e-09			2.2672542e-09									plsr	0.6185814425111359	216.63348261149108	False	False
11	b'*  53 Tau'	04 19 26.0972	+21 08 32.310	14.0	14.0	0.1325	0.0837	90.0	A	O	b'2018yCat.1345....0G'		3.863669e-06	3.2960982000000003e-06			3.3923443e-06	2.6791681e-06	2.4603664e-06	2.449063e-06						plsr	-20.278906820872255	174.51647542839245	False	False
12	b'*  21 Per'	02 57 17.2822	+31 56 03.197	14.0	14.0	0.2473	0.19699999999999998	90.0	A	O	b'2018yCat.1345....0G'		8.298511e-06	8.072351e-06			8.443059e-06	7.780362e-06	5.714786e-06	5.902009400000001e-06						plsr	-23.769684399802607	151.879218969602	False	False
13	b'* iot CrB'	16 01 26.5649	+29 51 03.813	14.0	14.0	0.1041	0.1221	90.0	A	O	b'2018yCat.1345....0G'		1.1994992999999999e-05	1.0690543999999999e-05			1.19371325e-05	9.7051e-06	7.852356e-06	8.491803e-06						plsr	48.455860313838436	48.304453215319825	False	False
14	b'* bet UMa'	11 01 50.4905	+56 22 56.833	14.0	14.0	0.6603	0.6857	90.0	A	O	b'2018yCat.1345....0G'	0.004466837	0.004466837	0.0042657964	0.0048977885999999995	0.004466837	0.0054890863	0.004466837	0.0043752209999999995	0.004466837						plsr	54.804087122206276	149.16603433989715	False	False
15	b'EM* MWC   17'	01 47 38.4697	+60 41 57.304	14.0	14.0	0.0174	0.0221	90.0	A	O	b'2018yCat.1345....0G'						6.303759600000001e-13	1.035143e-10	1.4791086e-09	5.2480722e-08						Be	-1.4254759641778352	129.75783282440528	False	False
16	b'HD 204185'	21 24 19.2400	+61 16 16.920	14.0	14.0	0.0347	0.0321	90.0	A	O	b'2018yCat.1345....0G'		1.2022642e-09	1.5848926e-09			1.7619772e-09	2.4043605e-09	2.6791709999999995e-09	2.728977e-09						Be	7.7695398967471245	100.52867722878	False	False
