	level_0	gev_ASSOC_TEV	gev_CLASS1	gev_DEJ2000	gev_Flux1000	gev_Flux10000_100000	gev_Flux1000_3000	gev_Flux100_300	gev_Flux3000_10000	gev_Flux300_1000	gev_Flux30_100	gev_GLAT	gev_GLON	gev_RAJ2000	gev_Variability_Index	s_COO_BIBCODE	s_COO_ERR_ANGLE	s_COO_ERR_MAJA	s_COO_ERR_MINA	s_COO_QUAL	s_COO_WAVELENGTH	s_DEC	s_DEC_PREC	s_MAIN_ID	s_RA	s_RA_PREC	s_class	s_glat	s_glon
0	308	b'                     '	b'     '	56.78670120239258	6.618037229344509e-10	6.1619086569320025e-12	6.436417510080616e-10	2.1996529042667134e-08	9.478922508021626e-11	3.374164947445024e-09		-3.2338104248046875	136.88327026367188	38.9276008605957	60.79414749145508	b'2018yCat.1345....0G'	90.0	0.024000000208616257	0.025200000032782555	A	O	+56 44 21.089	14.0	b'LS   I +56   58'	02 35 42.8329	14.0	B	-3.2774410267547713	136.9018973126627
1	2252	b'                     '	b'bcu  '	-50.170101165771484	6.989893663877922e-10	6.4419883781475975e-15	8.691011244010838e-10	1.2157216566777151e-08	1.0627772967231053e-10	4.151139432195805e-09		-11.987717628479004	342.2788391113281	268.3858947753906	258.76611328125	b'2012MNRAS.427.2180N'	0.0	3000.0	3000.0	D	U	-50 07 41.8	6.0	b'GALEX J175340.5-500741'	17 53 40.57	6.0	B	-11.986448834450863	342.32635505531016
2	2023	b'                     '	b'snr  '	-47.580299377441406	1.5836448596928676e-08	1.196222565447158e-10	1.0395202920676638e-08	3.3787280528940755e-08	2.4000272880186913e-09	3.788975888596724e-08		-0.15647166967391968	337.0302429199219	249.06869506835938	54.63111877441406	b'2010ApJS..188..405A'	0.0			D		-47 37.5	4.0	b'[KRL2007b] 194'	16 36 30	4.0	B	-0.2144517049950779	337.0222619349824
3	2411	b'                     '	b'     '	-3.9892001152038574	4.971627109995325e-09	8.011468008092826e-15	3.541491322422985e-09	3.805723736149957e-09	7.832864357126823e-10	9.633871478342826e-09		0.04435489699244499	28.42618179321289	280.7615966796875	55.274227142333984	b'2018yCat.1345....0G'	90.0	0.0502999983727932	0.05339999869465828	A	O	-03 53 00.956	14.0	b'LS  IV -03    6'	18 42 55.5215	14.0	B	0.11973154925145538	28.505858464522227
4	2930	b'                     '	b'     '	55.91680145263672	3.0775093584622937e-10	3.203139489760254e-11	3.065531162249613e-10	2.08356742232782e-13	1.3937218046322641e-10	8.092817729973487e-14		-3.845337152481079	108.20333862304688	345.9442138671875	37.93653106689453	b'2018yCat.1345....0G'	90.0	0.023499999195337296	0.020999999716877937	A	O	+55 52 31.227	14.0	b'EM* GGR  129'	23 04 18.1355	14.0	B	-3.9129406211302213	108.25370303546477
5	994	b'                     '	b'bll  '	48.919700622558594	2.203694338120954e-09	9.627603575479426e-11	1.9139569928938727e-09	2.2514676345508633e-08	3.859472186285018e-10	6.872074909125558e-09		39.28076171875	170.46792602539062	132.51950073242188	381.5800476074219	b'2018yCat.1345....0G'	90.0	0.2533000111579895	0.25999999046325684	A	O	+48 58 26.279	14.0	b'SDSS J085023.10+485826.3'	08 50 23.1081	14.0	B	39.328611814372394	170.39474254182863
6	2359	b'                     '	b'     '	-14.767200469970703	5.335952568685798e-09	4.4048240749328116e-11	3.442912621665073e-09	8.717234711852484e-10	1.1821549295021327e-09	5.658421287080273e-09		-1.4837971925735474	17.07600975036621	276.8340148925781	40.0007209777832	b'2018yCat.1345....0G'	90.0	0.04450000077486038	0.04050000011920929	A	O	-14 46 47.330	14.0	b'LS  IV -14   70'	18 27 44.4976	14.0	B	-1.5762320319392351	17.10997686386423
7	2313	b'                     '	b'spp  '	-19.457300186157227	2.1440733632971387e-09	8.11811937118101e-11	2.160599255063289e-09	2.043571312171366e-09	6.061212642904934e-10	3.311458052213112e-10		-0.32725322246551514	11.132763862609863	272.8273010253906	47.24182891845703	b'2018yCat.1345....0G'	90.0	0.04230000078678131	0.04309999942779541	A	O	-19 31 20.174	14.0	b'Hen 3-1611'	18 11 01.3249	14.0	B	-0.2990109457887958	11.042788336279775
8	2689	b'                     '	b'SNR  '	50.439998626708984	1.068883292987266e-08	6.291233506372507e-11	9.279470525314082e-09	7.389031253524081e-08	1.180664122024666e-09	4.4585821257214775e-08		4.67033052444458	88.75330352783203	311.32000732421875	58.55231475830078	b'2001AJ....122.3466M'	0.0			D	O	+50 22 56.7	6.0	b'LS III +50    6'	20 44 53.55	6.0	B	4.6832744062495255	88.6691605455667
9	122	b'                     '	b'GAL  '	-72.69999694824219	3.495961520272317e-09	8.171548160351705e-11	2.834703360932167e-09	3.308345597474727e-08	6.232615534784713e-10	1.305894947734032e-08		-44.41674041748047	302.1451416015625	14.75	43.899356842041016	b'2018yCat.1345....0G'	90.0	0.026900000870227814	0.021800000220537186	A	O	-72 36 52.256	14.0	b'LIN 341'	00 58 45.2214	14.0	B	-44.50285270464017	302.16580293066767
10	2405	b'HESS J1841-055       '	b'PWN  '	-5.550000190734863	1.1846604586196463e-08	1.0874412481598483e-09	8.559549513620368e-09	5.1708819448492704e-09	3.236763301828205e-09	1.0769560354617624e-08		-0.19858986139297485	26.79593276977539	280.2300109863281	86.71670532226562	b'2018yCat.1345....0G'	90.0	0.03620000183582306	0.03519999980926514	A	O	-05 29 40.704	14.0	b'LS  IV -05   11'	18 41 02.0854	14.0	B	-0.19838446968984755	26.85778247965305
11	1660	b'                     '	b'bll  '	44.212398529052734	2.5426899474823017e-10	4.3625537210489895e-11	1.1228779017713464e-10	6.331429602823846e-09	3.872072454336184e-11	8.610638868589149e-10		70.2574462890625	96.04692077636719	205.16419982910156	41.44809341430664	b'2018yCat.1345....0G'	90.0	0.1876000016927719	0.20829999446868894	A	O	+44 13 46.793	14.0	b'SDSS J134029.74+441346.8'	13 40 29.7443	14.0	B	70.25939538314759	96.14655373423616
12	2959	b'                     '	b'fsrq '	-3.264699935913086	3.028392869808272e-09	6.001551339229749e-11	2.3491657508145636e-09	3.6569478112369325e-08	5.138569014739858e-10	1.2445143582340279e-08		-58.21533966064453	77.78975677490234	350.8976135253906	370.6482849121094	b'2018yCat.1345....0G'	90.0	0.13860000669956207	0.09220000356435776	A	O	-03 15 07.794	14.0	b'SDSS J232339.56-031507.7'	23 23 39.5658	14.0	B	-58.21636523863409	77.82937058310605
13	1299	b'                     '	b'PSR  '	-61.22309875488281	3.0648033000346686e-09	7.149008468543272e-11	3.1419833401713504e-09	1.0634675362553025e-07	1.5095401317832824e-10	2.3263606152568173e-08		-0.9411547183990479	290.5028991699219	166.3050994873047	56.068843841552734	b'2018yCat.1345....0G'	90.0	0.025100000202655792	0.02910000085830688	A	O	-61 11 14.764	14.0	b'TYC 8958-3477-1'	11 06 09.9970	14.0	B	-0.8632639889039166	290.59294993125894
14	86	b'                     '	b'bcu  '	40.81779861450195	8.725302425016679e-11	3.752862950956448e-11	4.494696628776218e-11	2.0897572561295874e-09	1.9026452288684048e-11	3.3082270256556967e-10		-22.005041122436523	120.66645050048828	10.083000183105469	30.274110794067383	b'2018yCat.1345....0G'	90.0	0.7224000096321106	1.333400011062622	A	O	+40 44 42.133	14.0	b'MAC 1-531'	00 40 33.9556	14.0	B	-22.079802166342898	120.71001693548521
15	1225	b'                     '	b'     '	-58.72999954223633	3.575638451991381e-09	4.2236047992361136e-11	2.4802482290198213e-09	6.205637959055821e-08	3.083329425113135e-10	1.1230457452882092e-08		-0.22585949301719666	286.34228515625	159.4884033203125	38.87642288208008	b'2018yCat.1345....0G'	90.0	0.4101999998092651	0.4442999958992005	A	O	-58 43 32.265	14.0	b'HD  92406'	10 38 47.2892	14.0	B	-0.16919598329423668	286.43423723925474
16	2863	b'SNR G106.3+02.7      '	b'spp  '	60.76530075073242	5.172493544591816e-10	6.411176450837885e-11	1.6029252924987247e-10	4.486257754177103e-10	8.773975990195026e-11	4.159956823457378e-09		2.7526700496673584	106.06735229492188	336.4646911621094	35.80331039428711	b'2018yCat.1345....0G'	90.0	0.03060000017285347	0.030099999159574512	A	O	+60 45 55.425	14.0	b'LS III +60   19'	22 25 46.0585	14.0	B	2.758663449209447	106.05751389769024
17	771	b'                     '	b'     '	-4.652599811553955	8.803084372566161e-10	2.5159128252960627e-11	6.977549094067115e-10	1.7695860776711925e-08	1.5440482226125596e-10	3.3994704828899103e-09		-0.3959685266017914	217.95790100097656	104.80220031738281	41.52374267578125	b'2018yCat.1345....0G'	90.0	0.044599998742342	0.05469999834895134	A	O	-04 34 24.561	14.0	b'HD 295998'	06 59 07.6866	14.0	B	-0.377947887638874	217.87789900639112
18	95	b'                     '	b'bll  '	21.445899963378906	1.3894633221767094e-09	1.2960370276982047e-10	8.071918689012136e-10	1.0143883066859871e-08	4.380754092814243e-10	2.709415580781638e-09		-41.40382766723633	121.05860137939453	11.34939956665039	59.4895133972168	b'2018yCat.1345....0G'	90.0	0.07320000231266023	0.04259999841451645	A	O	+21 21 07.853	14.0	b'PG 0042+211'	00 45 11.1755	14.0	O	-41.49597293542431	120.98836162278093
19	1242	b'                     '	b'BIN  '	-59.69160079956055	1.7172618882455026e-08	4.4471351601238496e-10	1.275006322742911e-08	1.0826031626720578e-07	2.7828677140462332e-09	5.995833873839729e-08		-0.6330745816230774	287.6058044433594	161.27650451660156	57.497596740722656	b'1976A&AS...23..283L'	0.0			D		-59 43 48	5.0	b'LLNS  2720'	10 45 14.8	5.0	O	-0.6588077224093988	287.638954791871
20	1238	b'                     '	b'     '	-59.504600524902344	1.925611226027968e-09	1.2026259155195618e-10	1.408222094489986e-09	6.171542226915405e-13	3.914835122742488e-10	6.289472831433329e-10		-0.5559729933738708	287.3520812988281	160.90499877929688	35.683937072753906	b''	0.0			E	O	-59 33.5	4.0	b'CPD-58  2614'	10 43 49	4.0	O	-0.5916661058575023	287.3989352040176
21	2320	b'                     '	b'     '	-17.961200714111328	2.7531981139361505e-09	3.140265131262865e-11	2.7800033386427003e-09	1.0134187326121813e-12	7.367833565474768e-10	1.1087522011621331e-08		-0.17962999641895294	12.757367134094238	273.5137939453125	50.072853088378906	b'2015ApJ...805..110M'	0.0			C	O	-17 56 03.2	6.0	b'[MCF2015] 22'	18 14 16.52	6.0	O	-0.21246159381565455	12.805655810941431
22	2222	b'                     '	b'     '	-29.062999725341797	3.8745330499523334e-08	3.0551539076384415e-10	3.184362995511947e-08	1.6139180658569785e-08	5.155299298564842e-09	9.678488055442358e-08		-0.02007133699953556	359.86395263671875	266.3429870605469	48.41798400878906	b'2004ApJ...602..770G'	0.0			D		-28 59 58.7	6.0	b'GCIRS  8'	17 45 40.14	6.0	O	-0.04221907679382832	359.95142071028005
23	2226	b'Galactic Centre      '	b'spp  '	-28.994800567626953	2.178237679117956e-08	9.998125660715118e-10	1.5403353259557662e-08	5.515596512850607e-07	5.3190856164064826e-09	8.277984164806185e-08		-0.03929706662893295	359.9555969238281	266.4164123535156	68.25331115722656	b'2004ApJ...602..770G'	0.0			D		-28 59 58.7	6.0	b'GCIRS  8'	17 45 40.14	6.0	O	-0.04221907679382832	359.95142071028005
24	2228	b'                     '	b'pwn  '	-28.862699508666992	2.7521767975713374e-08	4.5720238706081773e-10	2.2354585738071364e-08	1.8510103449997928e-09	4.68638772233021e-09	4.536945397148884e-08		-0.10315696895122528	0.1492011696100235	266.59381103515625	57.06263732910156	b'2011MNRAS.417..114D'	90.0	49.0	49.0	B	O	-28 55 15.3	6.0	b'[MCD2010] 13'	17 46 01.65	6.0	O	-0.06818724779357126	0.05945874855574083
