	gev_ASSOC_TEV	tev_glat	gev_GLAT	tev_glon	gev_GLON	gev_CLASS1	tev_classes
0	b'Tycho                '	1.4129304885864258	1.3377548456192017	120.09236145019531	120.12599182128906	b'snr  '	b'snr'
1	b'3C 58                '	3.083847999572754	3.0701370239257812	130.7178192138672	130.718505859375	b'PSR  '	b'pwn'
2	b'3C 66A               '	-16.766897201538086	-16.766998291015625	140.14295959472656	140.1504669189453	b'BLL  '	b'unid'
3	b'LS I +61 303         '	1.0861347913742065	1.0862773656845093	135.67527770996094	135.67884826660156	b'HMB  '	b'bin'
4	b'Crab                 '	-5.784357070922852	-5.78121280670166	184.55746459960938	184.55332946777344	b'PWN  '	b'pwn'
5	b'Crab Pulsar          '	-5.784357070922852	-5.775753974914551	184.55746459960938	184.5518035888672	b'PSR  '	b'pwn'
6	b'Vela X               '	-3.1061031818389893	-3.1059281826019287	263.3319396972656	263.33251953125	b'PWN  '	b'pwn'
7	b'HESS J1018-589       '	-1.8798760175704956	-1.8938813209533691	284.079345703125	284.08349609375	b'PSR  '	b'pwn'
8	b'HESS J1018-589       '	-1.7795172929763794	-1.69010591506958	284.3140869140625	284.3512268066406	b'HMB  '	b'bin'
9	b'                     '	-0.45973488688468933	-0.49542903900146484	285.0734558105469	285.0693359375	b'PSR  '	b'pwn'
10	b'SNR G292.2-00.5      '	-0.5369425415992737	-0.5418009161949158	292.15130615234375	292.1457214355469	b'PSR  '	b'pwn'
11	b'HESS J1303-631       '	-0.356149822473526	-0.3575578033924103	304.235595703125	304.2352294921875	b'PWN  '	b'pwn'
12	b'HESS J1356-645       '	-2.4941415786743164	-2.492361307144165	309.81207275390625	309.8861083984375	b'PSR  '	b'pwn'
13	b'Kookaburra (Rabbit)  '	0.11877414584159851	0.1302185207605362	313.32611083984375	313.3169250488281	b'PSR  '	b'pwn'
14	b'HESS J1458-608       '	-1.781295895576477	-1.7984734773635864	317.8908386230469	317.87750244140625	b'PSR  '	b'pwn'
15	b'                     '	-1.193045735359192	-1.1620116233825684	320.3303527832031	320.3212585449219	b'PSR  '	b'pwn'
16	b'MSH 15-52            '	-1.193045735359192	-1.2714745998382568	320.3303527832031	320.26995849609375	b'PWN  '	b'pwn'
17	b'HESS J1616-508       '	-0.1309431493282318	-0.13110612332820892	332.3651428222656	332.3656005859375	b'PWN  '	b'pwn'
18	b'RX J1713.7-3946      '	-0.4573555886745453	-0.47289541363716125	347.31085205078125	347.3359680175781	b'SNR  '	b'snr'
19	b'                     '	-0.04616236314177513	-0.02007133699953556	359.9442443847656	359.86395263671875	b'     '	b'unid'
20	b'                     '	-0.11320564895868301	-0.10315696895122528	0.14061740040779114	0.1492011696100235	b'pwn  '	b'unid'
21	b'                     '	2.4420559406280518	2.4416911602020264	17.241666793823242	17.24251365661621	b'PSR  '	b'unid'
22	b'LS 5039              '	-1.2892162799835205	-1.2937952280044556	16.8815860748291	16.885555267333984	b'HMB  '	b'bin'
23	b'HESS J1841-055       '	-0.19760440289974213	-0.19858986139297485	26.79511260986328	26.79593276977539	b'PWN  '	b'unid'
24	b'HESS J1848-018       '	-0.15920360386371613	-0.11264707893133163	30.999937057495117	31.08797264099121	b'     '	b'unid'
25	b'TeV J2032+4130       '	1.1111170053482056	1.0188266038894653	80.29947662353516	80.21859741210938	b'PSR  '	b'unid'
26	b'Cassiopeia A         '	-2.1295676231384277	-2.12900447845459	111.73474884033203	111.74650573730469	b'snr  '	b'snr'
27	b'Crab Pulsar          '	-5.784365653991699	-5.775753974914551	184.55746459960938	184.5518035888672	b'PSR  '	b'psr'
28	b'Kookaburra (Rabbit)  '	0.14962416887283325	0.1302185207605362	313.2469482421875	313.3169250488281	b'PSR  '	b'pwn'
29	b'                     '	-0.14797726273536682	-0.10315696895122528	0.05499047413468361	0.1492011696100235	b'pwn  '	b'unid'
