gev_nuFnu10000_100000	gev_nuFnu1000_3000	gev_nuFnu100_300	gev_nuFnu3000_10000	gev_nuFnu300_1000	gev_nuFnu30_100	s_FLUX_U	s_FLUX_B	s_FLUX_V	s_FLUX_R	s_FLUX_I	s_FLUX_G	s_FLUX_J	s_FLUX_H	s_FLUX_K	s_FLUX_u	s_FLUX_g	s_FLUX_r	s_FLUX_i	s_FLUX_z	xmm_SC_EP_1_FLUX	xmm_SC_EP_2_FLUX	xmm_SC_EP_3_FLUX	xmm_SC_EP_4_FLUX	xmm_SC_EP_5_FLUX	s_MAIN_ID	s_class	s_nan_spectra	gev_1FGL_Name	gev_CLASS1	marked
0.016564700925213595	0.31811644143370826	0.11671428037668222	0.1949821083746795	0.35362246888971643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'[KRL2007b] 194'	Be	True	b'1FGL J1636.4-4737c'	b'snr  '	0
9.659359010291049e-15	1.7785700168360166e-13	3.858887173305615e-14	8.784308855558654e-14	1.76338184897726e-13	0.0	0.0983523251227524	0.10185175337502167	0.09862859323197228	0.09770768782469963	0.0	0.09566512880019959	0.08095648890129718	0.07100153640265124	0.061332064755907904	0.0	0.10111502377976064	0.09697096701184348	0.09641843079340373	0.0	0.0	0.0	0.0	0.0	0.0	b'HD 328990'	Be	False	b'1FGL J1651.5-4602c'	b'     '	0
2.8857744584529067e-14	1.7548088034567493e-13	1.9400372610294963e-13	1.1838210147856782e-13	1.6617365770681344e-13	0.0	0.12672485294386288	0.12916361053161024	0.1210344271864395	0.11507303123503994	0.10866001255102192	0.1161325344272924	0.09841724963325472	0.09436168972620278	0.09043259176459266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'UCAC2   5051621'	Be	False	b'                  '	b'spp  '	0
3.989508228059637e-13	9.11459627056371e-13	3.26373299400525e-12	8.938205023180557e-13	1.3910346040472364e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39524838290080566	0.3328674937443105	0.27188412334802475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'SSTGC 519103'	Be	False	b'1FGL J1745.6-2900c'	b'spp  '	0
1.2984794921459588e-14	6.49435931906934e-14	7.579482359569036e-14	4.062573955447209e-14	8.512148525508787e-14	0.0	0.0	0.1470159847311949	0.14733749078324448	0.0	0.14462904642302518	0.14242624263901582	0.14091710700036722	0.14046895155388683	0.13720517686898606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'LIN 341'	Be	False	b'1FGL J0101.3-7257 '	b'GAL  '	0
5.193645271281133e-15	2.181423259502726e-14	5.532338720727262e-14	1.3688901556079996e-14	3.0138318362031536e-14	0.0	0.14094585131855522	0.14960279878240557	0.14716802948635546	0.0	0.0	0.14603315227918964	0.13934972707334017	0.13903862138991266	0.1378618196701151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'LS  VI -04   15'	B	False	b'                  '	b'     '	0
1.4005984677065467e-15	2.332673809094371e-14	7.971939593054936e-14	9.706427831562992e-15	3.4551485669441475e-14	0.0	0.0	0.1824420683151284	0.17700557998076066	0.0	0.0	0.1719752317082626	0.15767408158194715	0.15578730069528848	0.15511573771846401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'LS   I +56   58'	B	False	b'                  '	b'     '	0
2.393572953037206e-19	2.189840038958693e-15	6.887979415968735e-15	1.2380843303090578e-15	6.1793018713503805e-15	0.0	0.0	0.08579926112751733	0.0839929625932099	0.08483966368536795	0.0	0.0835735633117167	0.08074162092490111	0.08001345777031742	0.07897483503645178	0.08572588280657838	0.08375588671806118	0.08384055359736044	0.08415666014741964	0.08458565228108167	0.0	0.0	0.0	0.0	0.0	b'PG 1101+529'	B	False	b'                  '	b'     '	0
7.356775783892632e-18	1.5440904165459515e-13	2.1599143830212623e-13	5.344440720049863e-14	2.0875041570188706e-13	0.0	0.0	0.0	0.9999999999993673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'GALEX J175340.5-500741'	B	False	b'1FGL J1754.0-5002 '	b'bcu  '	0
3.0896072277078166e-14	1.8787573458917822e-13	2.0770691646195483e-13	1.2674386083363838e-13	1.779111088885514e-13	0.0	0.12068674931358124	0.12059005219302418	0.11507791053459634	0.11237019748808541	0.1093723746350544	0.11421918292501813	0.10451781950853678	0.1017520881896916	0.10141362521168079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'HD 306182'	B	False	b'                  '	b'spp  '	0
