gev_nuFnu10000_100000,gev_nuFnu1000_3000,gev_nuFnu100_300,gev_nuFnu3000_10000,gev_nuFnu300_1000,gev_nuFnu30_100,s_FLUX_U,s_FLUX_B,s_FLUX_V,s_FLUX_R,s_FLUX_I,s_FLUX_G,s_FLUX_J,s_FLUX_H,s_FLUX_K,s_FLUX_u,s_FLUX_g,s_FLUX_r,s_FLUX_i,s_FLUX_z,tev_0.3TeV,tev_1TeV,tev_3TeV,tev_10TeV,tev_30TeV,s_MAIN_ID,s_class,gev_1FGL_Name,gev_CLASS1,tev_fermi_names,tev_classes,marked
2.938044122227645e-12,7.446349092887772e-11,4.520059673773781e-12,3.1038335096544856e-11,7.171538363159871e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.786119210842057e-16,7.94327537013272e-14,1.995263191254866e-11,0.0,0.0,0.0,0.0,0.0,4.812001718906339e-12,3.9043123186197545e-12,2.6337479408640577e-12,8.977128236964246e-13,8.824637662229083e-14,b'SSTGC 519103',Be,b'                  ',b'     ',b'',b'unid',0
2.0984198753626337e-11,2.096861573264164e-11,1.2667283671649596e-12,2.2741230773504213e-11,7.566604461051174e-12,0.0,0.0,6.918312139914402e-12,3.0902938038668194e-11,0.0,0.0,3.2448897917794376e-11,3.4276766611617434e-10,4.897783461428336e-10,5.457584459296033e-10,0.0,0.0,0.0,0.0,0.0,9.087247699559194e-12,1.9313466177633476e-11,1.204573173404641e-11,6.969756671311397e-12,4.125785840202669e-12,b'LS  IV -05   11',B,b'                  ',b'PWN  ',b'',b'unid',0
2.938044122227645e-12,7.446349092887772e-11,4.520059673773781e-12,3.1038335096544856e-11,7.171538363159871e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.549915794217654e-16,1.1481547308470718e-12,1.5488151224416984e-09,0.0,0.0,0.0,0.0,0.0,4.812001718906339e-12,3.9043123186197545e-12,2.6337479408640577e-12,8.977128236964246e-13,8.824637662229083e-14,b'GCIRS  1W',B,b'                  ',b'     ',b'',b'unid',0
4.706814365346146e-12,5.33276339753641e-11,5.145968286907053e-13,2.923598863002752e-11,3.38735636762344e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.265796312095559e-15,5.116814040740711e-12,2.8248813644328225e-10,0.0,0.0,0.0,0.0,0.0,2.3718783560310878e-12,1.3313360726666724e-13,4.0004687656648203e-13,2.969888011843345e-13,4.585589260626339e-13,b'[MCD2010] 18',O,b'1FGL J1746.4-2849c',b'pwn  ',b'',b'unid',0
2.938044122227645e-12,7.446349092887772e-11,4.520059673773781e-12,3.1038335096544856e-11,7.171538363159871e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.090293803866819e-15,3.235938274699711e-11,0.0,0.0,0.0,0.0,0.0,4.812001718906339e-12,3.9043123186197545e-12,2.6337479408640577e-12,8.977128236964246e-13,8.824637662229083e-14,b'GCIRS  8',O,b'                  ',b'     ',b'',b'unid',0
4.706814365346146e-12,5.33276339753641e-11,5.145968286907053e-13,2.923598863002752e-11,3.38735636762344e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.602566867780801e-14,2.0558892957902367e-11,7.550926786740193e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'[MCD2010] 13',O,b'1FGL J1746.4-2849c',b'pwn  ',b'',b'unid',0
4.706814365346146e-12,5.33276339753641e-11,5.145968286907053e-13,2.923598863002752e-11,3.38735636762344e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.602566867780801e-14,2.0558892957902367e-11,7.550926786740193e-10,0.0,0.0,0.0,0.0,0.0,2.3718783560310878e-12,1.3313360726666724e-13,4.0004687656648203e-13,2.969888011843345e-13,4.585589260626339e-13,b'[MCD2010] 13',O,b'1FGL J1746.4-2849c',b'pwn  ',b'',b'unid',0
2.8456859264835987e-12,4.600288899814231e-11,1.4188471578191473e-11,3.22483463544021e-11,3.170300133525927e-11,0.0,7.585777749219503e-14,8.317639172213712e-14,1.1220189470737907e-12,0.0,0.0,4.354114075704058e-12,3.013006659351846e-10,5.649367862480817e-10,8.491802811045009e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'[MT91] 213',B0Ve,b'1FGL J2032.2+4127 ',b'PSR  ',b'',b'unid',1
2.8456859264835987e-12,4.600288899814231e-11,1.4188471578191473e-11,3.22483463544021e-11,3.170300133525927e-11,0.0,4.0737995575796633e-13,9.772367059324805e-13,5.0118701351427895e-12,8.912505467113453e-12,0.0,1.0529309760794313e-11,6.441692881478433e-10,1.2735017386944274e-09,1.7139581204692714e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'Schulte 21',B0Ve,b'1FGL J2032.2+4127 ',b'PSR  ',b'',b'unid',0
5.9290025146430114e-12,8.840735782333908e-11,1.353836348583215e-10,4.055951408066249e-11,1.3179177194011515e-10,0.0,5.370312303176601e-12,2.454710856206491e-12,1.7782794100389227e-11,6.456548528681109e-11,2.818381693478142e-10,4.04296464518132e-11,2.393314158727538e-09,5.915620602541264e-09,1.2105986439580392e-08,0.0,0.0,0.0,0.0,0.0,4.3676166317673835e-12,9.29276228842936e-13,8.533807294705742e-13,2.910344525528939e-13,4.0656585599353567e-13,b'LS   I +61  303',B0Ve,b'1FGL J0240.5+6113 ',b'HMB  ',b'',b'bin',1
