s_FLUX_U	s_FLUX_B	s_FLUX_V	s_FLUX_R	s_FLUX_I	s_FLUX_G	s_FLUX_J	s_FLUX_H	s_FLUX_K	s_FLUX_u	s_FLUX_g	s_FLUX_r	s_FLUX_i	s_FLUX_z	tev_0.3TeV	tev_1TeV	tev_3TeV	tev_10TeV	tev_30TeV	xmm_SC_EP_1_FLUX	xmm_SC_EP_2_FLUX	xmm_SC_EP_3_FLUX	xmm_SC_EP_4_FLUX	xmm_SC_EP_5_FLUX	s_MAIN_ID	s_class	s_nan_spectra	tev_fermi_names	tev_classes	tev_glat	tev_glon	marked
-0.0	-0.0	-0.0	-0.018925519577475892	-0.0	-0.018764345650175228	-0.018281612815419235	-0.018149943505728548	-0.017967079448933478	-0.0	-0.0	-0.0	-0.0	-0.0	0.17781549588600787	0.1981436026427364	0.22379153881686736	0.24307341856669512	0.24926444508542564	-0.0	-0.0	-0.0	-0.0	-0.0	b'UCAC4 105-013663'	Be	False	b''	b'other'	-31.911823272705078	279.62399291992193	0
-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.018784657370153873	-0.017692759029457206	-0.016501225040278802	-0.0	-0.0	-0.0	-0.0	-0.0	0.1667118244769629	0.18781193117490866	0.2048256504928871	0.23082747374543616	0.2628017615496951	-0.0	-0.0	-0.0	-0.0	-0.0	b'MSX6C G331.5487-00.5364'	Be	False	b''	b'unid'	-0.5732107758522034	331.5122985839844	0
-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0192387524133183	-0.018034605826751184	-0.01661595567471999	-0.0	-0.0	-0.0	-0.0	-0.0	0.1691005505191668	0.18744616309880996	0.2056089590933364	0.2300344159153023	0.261699225288174	-0.0	-0.0	-0.0	-0.0	-0.0	b'SSTGC 519103'	Be	False	b''	b'unid'	-0.04616236314177513	359.9442443847656	0
-0.0	-0.017125226234871407	-0.01700761251081111	-0.0	-0.0	-0.0	-0.016754849997576295	-0.01669297528900402	-0.016647615704185815	-0.0	-0.0	-0.0	-0.0	-0.0	0.1981318874755315	0.18603578159592857	0.20433501031966236	0.22793397286126088	0.2677916274840654	-0.0	-0.0	-0.0	-0.0	-0.0	b'RMC 141'	B	False	b''	b'pwn'	-31.74585723876953	279.5587158203125	0
-0.0	-0.019622396003892605	-0.01959084782479464	-0.019712454319401475	-0.019645729213011467	-0.019591039245028842	-0.01968886329883282	-0.01976876002784531	-0.019781368746622296	-0.0	-0.0	-0.0	-0.0	-0.0	0.18844985010486703	0.2099936905453934	0.23717551574814563	0.2576105589961455	0.2641718432848779	-0.0	-0.0	-0.0	-0.0	-0.0	b'[AAA97b] J053648.7-691700'	B	False	b''	b'other'	-31.911823272705078	279.62399291992193	0
-0.0	-0.020112827810698043	-0.020077285451260203	-0.02007283020643503	-0.019949222223493504	-0.02000072033815582	-0.020143784202729758	-0.020134952831459503	-0.020157011011981432	-0.0	-0.0	-0.0	-0.0	-0.0	0.21209694384776245	0.19914826041163677	0.21873728536126505	0.2439995886523948	0.28666655580315425	-0.0	-0.0	-0.0	-0.0	-0.0	b'OGLE LMC-ECL-20994'	B	False	b''	b'pwn'	-31.74585723876953	279.5587158203125	0
-0.01727328481602057	-0.017596376421920613	-0.017627828056280204	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.17136922768314988	0.19096038838488325	0.21567852103089974	0.23426138314054204	0.24022796905474655	-0.0	-0.0	-0.0	-0.0	-0.0	b'[ST92] 2-62B'	B	False	b''	b'other'	-31.911823272705078	279.62399291992193	0
-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.01767779514155207	-0.017237210620398253	-0.017016263260232464	-0.0	-0.0	-0.0	-0.0	-0.0	0.16995536097611547	0.18803783667409657	0.20775209063026323	0.2320206088832204	0.25416537185848714	-0.0	-0.0	-0.0	-0.0	-0.0	b'[KKM2013] 7'	B	False	b''	b'pwn,snr'	0.26045286655426025	54.09474182128906	0
-0.01742032316176843	-0.017589047590860052	-0.01704975690930309	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.17129785298141847	0.1908808540312087	0.21558869165886735	0.23416381406950812	0.24012791492092897	-0.0	-0.0	-0.0	-0.0	-0.0	b'[ST92] 2-62'	B	False	b''	b'other'	-31.911823272705078	279.62399291992193	0
-0.018268646307587774	-0.01854359118981909	-0.01820731121079028	-0.017963762515516922	-0.0169005730860243	-0.01818725023320848	-0.017396568716957897	-0.017209921496386813	-0.017075791753059035	-0.0	-0.0	-0.0	-0.0	-0.0	0.211933351779986	0.19899465576687486	0.2185685715450125	0.24381138981972844	0.28644544759774865	-0.0	-0.0	-0.0	-0.0	-0.0	b'HTR 13'	B	False	b''	b'pwn'	-31.74585723876953	279.5587158203125	0
