	s_MAIN_ID	s_RA	s_DEC	s_RA_PREC	s_DEC_PREC	s_COO_ERR_MAJA	s_COO_ERR_MINA	s_COO_ERR_ANGLE	s_COO_QUAL	s_COO_WAVELENGTH	s_COO_BIBCODE	s_class	s_glat	s_glon	join
0	b'HD 201433A'	21 08 38.894	+30 12 20.27	7.0	7.0	26.0	26.0	90.0	B	O	b'2000A&A...355L..27H'	plsr	-11.77431071869675	76.10774252539082	-1.0
1	b'* nu. For'	02 04 29.4462	-29 17 48.491	14.0	14.0	0.1834000051021576	0.19419999420642853	90.0	A	O	b'2018yCat.1345....0G'	plsr	-73.77799282801924	224.88760108975063	-1.0
2	b'* phi Her'	16 08 46.1668	+44 56 05.732	14.0	14.0	0.3709999918937683	0.3754000067710877	90.0	A	O	b'2018yCat.1345....0G'	plsr	47.10739961314703	70.8478254771243	-1.0
3	b'V* CG And'	00 00 43.6345	+45 15 12.002	14.0	14.0	0.054999999701976776	0.0421999990940094	90.0	A	O	b'2018yCat.1345....0G'	plsr	-16.702455047004626	113.64935782367607	-1.0
4	b'HD 133029'	15 00 38.7184	+47 16 38.793	14.0	14.0	0.04720000177621842	0.04210000112652778	90.0	A	O	b'2018yCat.1345....0G'	plsr	57.71007399480583	80.1919424561738	-1.0
5	b'HD  23964'	03 49 58.0538	+23 50 55.299	9.0	9.0	7.199999809265138	5.960000038146973	90.0	A	O	b'2007A&A...474..653V'	plsr	-23.25970502692761	167.31196169690858	-1.0
6	b'HD  83059'	09 34 06.0267	-53 03 40.777	14.0	14.0	0.031599998474121094	0.037799999117851264	90.0	A	O	b'2018yCat.1345....0G'	plsr	-0.9126870412369802	275.8089967187973	-1.0
7	b'*  33 Lib'	15 29 34.7422	-17 26 27.375	14.0	14.0	0.05070000141859055	0.05090000107884407	90.0	A	O	b'2018yCat.1345....0G'	plsr	31.209151560222736	348.17052657472533	-1.0
8	b'V* EP Vir'	12 47 02.3097	+05 57 01.395	14.0	14.0	0.04419999942183495	0.03390000015497208	90.0	A	O	b'2018yCat.1345....0G'	plsr	68.79628486647236	299.90617214163	-1.0
9	b'HD 103498'	11 55 11.3277	+46 28 11.299	14.0	14.0	0.1597999930381775	0.2409999966621399	90.0	A	O	b'2018yCat.1345....0G'	plsr	67.69728093495604	149.09748717852747	-1.0
10	b'HD  52264'	07 00 24.0575	-03 00 40.274	14.0	14.0	0.0502999983727932	0.05130000039935112	90.0	A	O	b'2018yCat.1345....0G'	plsr	0.6185814425111359	216.63348261149108	-1.0
11	b'*  53 Tau'	04 19 26.0972	+21 08 32.310	14.0	14.0	0.13249999284744265	0.08370000123977661	90.0	A	O	b'2018yCat.1345....0G'	plsr	-20.278906820872255	174.51647542839245	-1.0
12	b'*  21 Per'	02 57 17.2822	+31 56 03.197	14.0	14.0	0.247299998998642	0.19699999690055847	90.0	A	O	b'2018yCat.1345....0G'	plsr	-23.769684399802607	151.879218969602	-1.0
13	b'* iot CrB'	16 01 26.5649	+29 51 03.813	14.0	14.0	0.10409999638795853	0.12210000306367876	90.0	A	O	b'2018yCat.1345....0G'	plsr	48.455860313838436	48.304453215319825	-1.0
14	b'* bet UMa'	11 01 50.4905	+56 22 56.833	14.0	14.0	0.6603000164031982	0.685699999332428	90.0	A	O	b'2018yCat.1345....0G'	plsr	54.804087122206276	149.16603433989715	-1.0
15	b'EM* MWC   17'	01 47 38.4697	+60 41 57.304	14.0	14.0	0.017400000244379044	0.022099999710917476	90.0	A	O	b'2018yCat.1345....0G'	Be	-1.4254759641778352	129.75783282440528	-1.0
16	b'HD 204185'	21 24 19.2400	+61 16 16.920	14.0	14.0	0.034699998795986176	0.03209999948740005	90.0	A	O	b'2018yCat.1345....0G'	Be	7.7695398967471245	100.52867722878	-1.0
17	b'RX J0532.4-6535'	05 32 27.2003	-65 34 54.983	8.0	8.0	300.0	300.0	90.0	C	I	b'2009AJ....138.1003B'	Be	-32.64950044323856	275.4091086110076	-1.0
18	b'CPD-60  3125'	11 36 09.5642	-61 35 38.141	14.0	14.0	0.038600001484155655	0.041200000792741776	90.0	A	O	b'2018yCat.1345....0G'	Be	-0.01915058517030103	294.10433601538534	-1.0
19	b'[SGR2006]  71'	16 53 42.1654	-41 41 12.113	14.0	14.0	0.03940000012516976	0.03390000015497208	90.0	A	O	b'2018yCat.1345....0G'	Be	1.338479453330497	343.517062266739	-1.0
20	b'HD 112147'	12 55 08.4591	-59 01 07.418	14.0	14.0	0.02390000037848949	0.028999999165534977	90.0	A	O	b'2018yCat.1345....0G'	Be	3.849586273067863	303.40953420641256	-1.0
21	b'CD-56   152'	00 49 01.3061	-56 05 49.340	14.0	14.0	0.03359999880194664	0.03180000185966492	90.0	A	O	b'2018yCat.1345....0G'	Be	-61.02795023651685	303.6275029959192	-1.0
22	b'EM* MWC  473'	04 36 55.5475	+53 52 33.750	14.0	14.0	0.05539999902248383	0.035900000482797616	90.0	A	O	b'2018yCat.1345....0G'	Be	4.459338974392924	152.42816106186584	-1.0
23	b'CD-46  4394'	08 38 14.5235	-47 14 40.380	14.0	14.0	0.022900000214576718	0.02370000071823597	90.0	A	O	b'2018yCat.1345....0G'	Be	-3.6308219737085135	265.50870003733826	-1.0
24	b'[MA93]  755'	00 54 21.1737	-73 16 31.868	14.0	14.0	0.03950000181794167	0.028100000694394108	90.0	A	O	b'2018yCat.1345....0G'	Be	-43.85108760973383	302.6411281218979	-1.0
25	b'EM* GGA    2'	00 50 05.9727	+64 45 35.076	14.0	14.0	0.07349999994039537	0.08860000222921371	90.0	A	O	b'2018yCat.1345....0G'	Be	1.8883667097485792	122.78917352195705	-1.0
26	b'EM* GGR   44'	22 04 12.3050	+53 04 01.351	14.0	14.0	0.050999999046325684	0.03880000114440918	90.0	A	O	b'2018yCat.1345....0G'	Be	-1.9556557467188744	99.30349232775716	-1.0
27	b'LHA 120-S  76'	04 59 23.6757	-69 35 55.933	14.0	14.0	0.01679999940097332	0.013899999670684338	90.0	A	O	b'2018yCat.1345....0G'	Be	-34.9655337924679	280.87405563612924	-1.0
28	b'UCAC2   1674039'	05 22 02.7762	-69 46 14.502	14.0	14.0	0.02940000034868717	0.02879999950528145	90.0	A	O	b'2018yCat.1345....0G'	Be	-33.01566620942515	280.51184042544395	-1.0
29	b'EM* MWC  939'	18 34 16.2191	-17 36 13.986	14.0	14.0	0.04720000177621842	0.0463000014424324	90.0	A	O	b'2018yCat.1345....0G'	Be	-4.267877661410025	15.322375672289924	-1.0
30	b'BD+50  3180'	20 43 50.2145	+50 58 22.312	14.0	14.0	0.021299999207258224	0.026599999517202374	90.0	A	O	b'2018yCat.1345....0G'	Be	5.179140530451837	89.0320419202025	-1.0
31	b'NGC  7654   773'	23 24 18.9905	+61 39 02.354	14.0	14.0	0.021700000390410423	0.0210999995470047	90.0	A	O	b'2018yCat.1345....0G'	Be	0.5075406884432475	112.7835222940915	-1.0
32	b'EM* MWC  709'	02 21 59.1454	+70 55 52.975	14.0	14.0	0.02089999988675117	0.019999999552965164	90.0	A	O	b'2018yCat.1345....0G'	Be	9.358027516045546	130.25360778523782	-1.0
33	b'BD-13  5074'	18 41 31.5744	-13 23 31.725	14.0	14.0	0.054099999368190765	0.050099998712539666	90.0	A	O	b'2018yCat.1345....0G'	Be	-3.909501851590352	19.87977639373276	-1.0
34	b'EM* AS  368'	19 52 46.7160	+28 46 52.747	8.0	8.0	0.2360000014305115	0.20000000298023224	0.0	A	O	b'2016A&A...595A...2G'	Be	0.7590550324864128	65.22444134373795	-1.0
35	b'[MA93]  239'	00 48 34.8389	-73 17 53.921	14.0	14.0	0.02199999988079071	0.01940000057220459	90.0	A	O	b'2018yCat.1345....0G'	Be	-43.8283623418205	303.21647871864934	-1.0
36	b'BD+50   395'	01 56 02.6711	+50 56 59.229	14.0	14.0	0.05050000175833702	0.08179999887943268	90.0	A	O	b'2018yCat.1345....0G'	Be	-10.628949564011688	133.2034739465501	-1.0
37	b'PN M  1-44'	18 16 17.3420	-27 04 30.539	14.0	14.0	0.060600001364946365	0.054999999701976776	90.0	A	O	b'2018yCat.1345....0G'	Be	-4.961446320151335	4.971126601153759	-1.0
38	b'PN M  2-9'	17 05 37.952	-10 08 34.58	7.0	7.0			0.0	D		b'2003A&A...408.1029K'	Be	18.055478488112346	10.898829857558296	-1.0
39	b'EM* MWC 1066'	22 37 34.7185	+58 19 56.349	14.0	14.0	0.03770000115036965	0.03640000149607658	90.0	A	O	b'2018yCat.1345....0G'	Be	-0.09676222133152312	106.104269666579	-1.0
40	b'CD-24  5721'	07 39 06.1600	-24 45 04.947	14.0	14.0	0.0198999997228384	0.02789999917149544	90.0	A	O	b'2018yCat.1345....0G'	Be	-1.3768711715914357	240.20657007002583	-1.0
41	b'HD 306798'	11 36 09.3688	-61 41 41.572	14.0	14.0	0.0340999998152256	0.0340999998152256	90.0	A	O	b'2018yCat.1345....0G'	Be	-0.11596437370898532	294.13295000900035	-1.0
42	b'CD-29  6963'	08 56 48.2457	-30 11 01.885	14.0	14.0	0.01669999957084656	0.024700000882148743	90.0	A	O	b'2018yCat.1345....0G'	Be	9.839876218456398	254.4016834802412	-1.0
43	b'[GKF2010] MN68'	18 02 22.340	-22 38 00.24	7.0	7.0	60.0	60.0	45.0	B	N	b'2003yCat.2246....0C'	Be	-0.05474659867548149	7.342864522445838	-1.0
44	b'EM* AS   77'	03 54 47.9225	+44 56 19.595	14.0	14.0	0.034699998795986176	0.020500000566244125	90.0	A	O	b'2018yCat.1345....0G'	Be	-6.7077236672023925	153.68371243760896	-1.0
45	b'BD+59   246'	01 24 29.1380	+60 17 23.267	14.0	14.0	0.020099999383091927	0.02199999988079071	90.0	A	O	b'2018yCat.1345....0G'	Be	-2.3194189001562413	127.019284486763	-1.0
